allele,frequency
C03:10,2e-06
C03:11,2e-06
C03:14,5e-06
C03:16,3e-06
C03:38,1.5e-05
C03:42,1e-06
C04:01,0.2037
C04:03,0.0001
C04:04,9.4e-05
C04:07,0.0006
C04:08,6.8e-05
C04:13,0.0001
C04:14,8e-06
C04:15,2e-06
C04:26,2e-06
C04:27,6.1e-05
C04:29,3e-06
C04:32,2e-06
C04:33,1e-06
C04:34,3e-06
C04:52,4e-06
C05:01,0.0336
C05:05,3e-06
C05:09,3e-06
C05:11,8e-06
C06:02,0.0865
C06:06,1e-05
C06:07,3e-06
C06:08,0.0002
C06:09,5.1e-05
C06:50,2e-06
C07:01,0.117
C07:02,0.0713
C07:04,0.0072
C07:05,0.0001
C07:09,2e-06
C07:10,2e-06
C07:15,1e-06
C07:16,6e-06
C07:17,4e-06
C07:19,2.4e-05
C07:22,3e-06
C07:27,1.1e-05
C07:28,8e-06
C07:35,5.2e-05
C07:51,4e-06
C07:58,3e-06
C07:100,2e-06
C07:101,1e-06
C07:102,2e-06
C07:103,1e-06
C07:105,2e-06
C07:106,2e-06
C07:107,2e-06
C07:108,1e-06
C07:109,1e-06
C07:112,3e-06
C07:141,2e-06
C07:151,1e-06
C07:154,1e-06
C07:155,7e-06
C07:156,3e-06
C07:157,2e-06
C07:158,2e-06
C07:165,2e-06
C08:01,0.0011
C08:02,0.034
C08:03,7e-05
C08:04,0.0098
C08:05,2e-06
C08:13,8e-06
C08:18,2e-06
C08:43,3e-06
C12:02,0.0011
C12:03,0.0149
C12:04,3e-06
C12:05,6e-06
C12:07,2e-06
C12:13,3e-06
C12:19,3e-06
C14:02,0.0165
C14:03,0.0015
C14:04,3e-06
C14:10,6e-06
C15:02,0.0054
C15:04,7e-06
C15:05,0.013
C15:06,4e-06
C15:07,6e-06
C15:09,4e-06
C15:11,1.5e-05
C15:15,6e-06
C15:22,2e-05
C16:01,0.0969
C16:02,0.0002
C16:04,4.3e-05
C16:08,2e-06
C16:21,4e-06
C16:22,5e-06
C16:26,2e-06
C16:35,4e-06
C17:01,0.0681
C17:04,7e-06
C18:01,0.0315
C18:03,4e-06
