allele,frequency
A68:02,0.0084
A68:03,8.97e-05
A68:05,1.65e-05
A68:06,1.2e-06
A68:07,1.2e-06
A68:08,8e-07
A68:12,1.29e-05
A68:13,8e-07
A68:15,8.9e-06
A68:17,1.2e-06
A68:19,8e-07
A68:20,8e-07
A68:22,2.8e-06
A68:23,8e-07
A68:24,4.8e-06
A68:25,1.17e-05
A68:26,2.4e-06
A68:30,8e-07
A68:35,3.2e-06
A68:37,1.6e-06
A69:01,0.0014
A74:01,0.0004
A74:03,0.0001
A74:05,1.2e-06
A74:06,1.85e-05
A74:07,4e-07
A74:08,4e-07
A74:13,4e-07
A80:01,0.0001
C01:02,0.0341
C01:03,6.3e-06
C01:06,1.3e-06
C01:07,3e-06
C01:12,1.4e-06
C01:13,1.1e-06
C01:17,1.2e-06
C01:27,2.8e-06
C01:51,1.2e-06
C02:02,0.0435
C02:03,2e-06
C02:06,1.4e-05
C02:07,3.2e-06
C02:08,1.5e-06
C02:16,1e-06
C02:19,6.2e-06
C02:26,1.2e-06
C02:27,1.8e-06
C03:02,0.0022
C03:03,0.0534
C03:04,0.0749
C03:05,2.11e-05
C03:06,1.43e-05
C03:07,1.01e-05
C03:08,4.7e-06
C03:09,5.9e-06
C03:10,6.6e-06
C03:11,3.3e-06
C03:13,1.4e-06
C03:14,3.37e-05
C03:16,1.16e-05
C03:18,1.7e-06
C03:19,8.6e-06
C03:23,1e-06
C03:30,1.1e-06
C03:35,1.6e-06
C03:40,6.7e-06
C03:44,1.2e-06
C03:53,8e-07
C03:69,7e-07
C03:82,1.1e-06
C04:01,0.1059
C04:03,7.48e-05
C04:04,3.32e-05
C04:05,3.2e-06
C04:06,7e-07
C04:07,1.06e-05
C04:08,2.2e-06
C04:11,1.5e-06
C04:12,1.6e-06
C04:15,1.1e-06
C04:16,1.5e-06
C04:23,2.1e-06
C04:24,2.2e-06
C04:29,1.2e-06
C04:32,9e-07
C04:33,1.4e-06
C04:36,1.5e-06
C04:37,9e-07
C04:49,8e-07
C04:52,7e-07
C04:54,7e-07
C04:63,2.8e-06
C04:77,6e-07
C05:01,0.0939
C05:05,1.67e-05
C05:06,1.9e-06
C05:08,9.1e-06
C05:09,7.7e-06
C05:10,3.7e-06
C05:11,1.2e-06
C05:13,1.3e-06
C05:14,7e-07
C05:22,2.6e-06
C05:27,1e-06
C05:29,1.5e-06
C05:36,4.3e-06
C05:38,7e-07
C05:39,1.3e-06
C06:02,0.0932
C06:03,1.4e-06
C06:04,5.6e-06
C06:06,2.57e-05
C06:07,5.7e-06
C06:08,2.4e-06
C06:11,1.5e-06
C06:14,1.7e-06
C06:17,1e-06
C06:20,1.1e-06
C06:23,7e-07
C06:30,1.6e-06
C07:01,0.16
C07:02,0.1413
C07:04,0.0154
C07:07,9.5e-06
C07:09,8e-07
C07:10,1.11e-05
C07:12,1.66e-05
C07:13,1.5e-06
C07:15,3.1e-06
C07:16,1.2e-06
C07:17,3.5e-06
C07:19,2.7e-06
C07:21,2.5e-06
C07:22,3.7e-06
C07:24,3.6e-06
C07:25,5.5e-06
C07:27,8.6e-06
C07:28,1.2e-06
C07:29,3.7e-06
C07:36,1.1e-06
C07:38,1.1e-06
C07:40,4.3e-06
C07:43,8e-07
C07:46,2.8e-06
C07:51,1.2e-06
C07:60,1.2e-06
C07:68,1.9e-06
C07:70,1.8e-06
C07:71,1.3e-06
C07:72,1.7e-06
C07:85,1e-06
C07:92,1.6e-06
C07:133,1.6e-06
C07:140,5.2e-06
C07:141,8e-07
C07:165,2.1e-06
C08:01,0.0004
C08:02,0.0385
C08:03,0.0004
C08:04,1.5e-05
C08:05,4e-06
