allele,frequency
C02:08,1.4e-05
C02:14,1.9e-05
C02:27,2.2e-05
C03:02,0.0049
C03:03,0.0298
C03:04,0.0602
C03:05,0.0197
C03:06,0.0026
C03:07,7.7e-05
C03:08,4.4e-05
C03:16,1.2e-05
C03:27,6e-06
C03:38,1e-05
C03:40,8e-06
C03:78,1.3e-05
C04:01,0.1756
C04:03,0.0003
C04:04,2.6e-05
C04:07,5.5e-05
C04:08,1.4e-05
C04:10,1.5e-05
C04:19,6e-06
C04:55,1.3e-05
C05:01,0.0579
C05:04,2.4e-05
C05:09,0.0001
C05:20,1.1e-05
C06:02,0.0614
C06:06,9e-06
C06:08,8e-06
C06:09,7e-06
C07:01,0.102
C07:02,0.1214
C07:04,0.0055
C07:05,2e-05
C07:07,2.2e-05
C07:17,0.0004
C07:27,3.2e-05
C07:29,7e-06
C07:35,2.1e-05
C08:01,0.0149
C08:02,0.0526
C08:03,0.0033
C08:04,0.0009
C08:08,1e-05
C08:10,3.1e-05
C08:11,1.4e-05
C08:35,8e-06
C12:02,0.0116
C12:03,0.0415
C12:04,4.1e-05
C12:05,1.2e-05
C12:12,2.1e-05
C14:02,0.0154
C14:03,0.0002
C14:04,1.2e-05
C14:06,1.3e-05
C15:02,0.0393
C15:03,1.6e-05
C15:04,0.0001
C15:05,0.0061
C15:06,2.2e-05
C15:07,1.3e-05
C15:08,2.8e-05
C15:09,0.0019
C15:16,4e-06
C15:17,5e-06
C15:36,6e-06
C15:45,1.5e-05
C15:48,5e-06
C16:01,0.0503
C16:02,0.0039
C16:04,0.0003
C16:09,8e-06
C17:01,0.02
C18:01,0.0038
